4,Afghanistan,2000,4.9,3.6,..,2000 MICS,,Data pertain to women aged 12 to 49.,,Figures by method do not add up to the total.,Data are not nationally-representative.,
170,Colombia,1990,66.1,54.7,2.9,1990 DHS,,,,,,
231,Ethiopia,1990,4.8,2.9,0.1,Ethiopia 1990 National Fertility and Family Survey,,,Data pertain to a non-standard age or marital status group.,,"Excluding Eritrea, Tigray, Asseb, Ogaden, parts of Gondar and Wello and nomadic populations.",
246,Finland,1990,77.4,75.4,2.1,1989-1990 FFS,Year of the survey: 1989 - 1990,Data pertain to women aged 25 to 49.,,Including some cases of sterilization for non-contraceptive reasons.,,
270,Gambia,1990,11.8,6.7,0.4,Gambia 1990 Contraceptive Prevalence and Fertility Determinants Survey,,,,,,
308,Grenada,1990,54.3,52.1,21.9,Grenada 1990 IPPF/WHR Caribbean Contraceptive Prevalence Survey,,Data pertain to women aged 15 to 44.,,Adjusted.,,
392,Japan,1990,57.9,52.5,42.8,Japan 1990 20th National Survey on Family Planning,,,,Figures by method do not add up to the total.,,
400,Jordan,1990,40.0,26.9,0.8,1990 DHS,,,,,,
566,Nigeria,1990,6.0,3.5,0.4,1990 DHS,,,,,,
600,Paraguay,1990,48.4,35.2,2.6,1990 DHS,,,,,,
638,R_union,1990,72.9,67.2,2.6,Reunion 1990 Enqu_te Fecondit_ Contraception,,,,Figures by method do not add up to the total.,,
729,Sudan,1990,8.7,5.6,0.1,1989 - 1990 DHS,Year of the survey: 1989 - 1990,,,,Data pertain to pre-secession Northern Sudan.,
840,United States of America,1990,70.7,66.6,9.9,United States of America 1990 National Survey of Family Growth,,Data pertain to women aged 15 to 44.,,,,
51,Armenia,1991,56.0,25.2,15.7,Armenia 1991 Study on Contraceptive Prevalence and Use in Yerevan,,Data pertain to women aged 15 to 44.,,,Data are not nationally-representative.,
50,Bangladesh,1991,39.9,31.2,2.5,Bangladesh 1991 Contraceptive Prevalence Survey,,Data pertain to women aged 10 to 49.,,,,
84,Belize,1991,46.7,41.8,1.9,1991 RHS,,Data pertain to women aged 15 to 44.,,,,
120,Cameroon,1991,16.1,4.3,0.9,1991 DHS,,,,,,
203,Czech Republic,1991,78.0,53.0,27.0,"Czech Republic 1991 Survey on Knowledge, Attitudes and Practice with Regard to Contraceptive Use",,Data pertain to women aged 15 to 44.,Data pertain to a non-standard age or marital status group.,,,
180,Democratic Republic of the Congo,1991,7.7,2.3,0.5,Democratic Republic of the Congo 1991 CDC survey,,Data pertain to women aged 12 to 49.,,,,
214,Dominican Republic,1991,56.4,51.7,1.2,1991 DHS,,,,,,
818,Egypt,1991,47.6,44.3,2.1,1991 PAPCHILD,,,,,,
360,Indonesia,1991,49.7,47.1,0.8,1991 DHS,,,,,,
462,Maldives,1991,29.0,19.0,2.0,Maldives 1991 KAP Survey on Child Spacing Methods,,,,Adjusted.,,
478,Mauritania,1991,4.1,1.2,0.1,1990 - 1991 PAPCHILD,Year of the survey: 1990 - 1991,,,Figures by method do not add up to the total.,,
480,Mauritius,1991,74.6,49.2,13.1,1991 CPS,,Data pertain to women aged 15 to 44.,,Adjusted.,,
104,Myanmar,1991,16.8,13.6,0.1,Myanmar 1991 Population Change and Fertility Survey,,,,Adjusted.,,
586,Pakistan,1991,11.8,9.0,2.7,1990 - 1991 DHS,Year of the survey: 1990 - 1991,,,,,
616,Poland,1991,72.7,28.0,13.4,1991 FFS,,Data pertain to women aged 20 to 49.,Data pertain to a non-standard age or marital status group.,Adjusted.,,
410,Republic of Korea,1991,79.4,69.5,10.2,Republic of Korea 1991 National Fertility and Family Health Survey,,Data pertain to women aged 15 to 44.,,,,
703,Slovakia,1991,74.0,41.0,21.0,"Slovakia 1991 Survey on Knowledge, Attitudes and Practice with Regard to Contraceptive Use",,Data pertain to women aged 15 to 44.,Data pertain to a non-standard age or marital status group.,,,
626,Timor-Leste,1991,25.1,20.4,0.2,1991 DHS,,,,,,
